resourceID,New resource (yes/no),Updated field(s)
ID0001,no,"resourceKeywords, resourceTags"
ID0002,no,"resourceKeywords, resourceTags"
ID0003,no,"resourceKeywords, resourceTags"
ID0004,no,"resourceKeywords, resourceTags"
ID0005,no,"resourceKeywords, resourceTags"
ID0006,no,"resourceKeywords, resourceTags"
ID0007,no,resourceKeywords
ID0008,no,"resourceKeywords, resourceTags"
ID0009,no,"resourceKeywords, resourceTags"
ID0010,no,"resourceKeywords, resourceTags, resourceUrl"
ID0011,no,"resourceKeywords, resourceTags"
ID0012,no,"resourceKeywords, resourceTags"
ID0013,no,"resourceKeywords, resourceTags"
ID0014,no,"resourceDescription, resourceKeywords, resourceTags"
ID0015,no,"resourceKeywords, resourceTags"
ID0016,no,"resourceKeywords, resourceTags"
ID0017,no,"resourceKeywords, resourceTags"
ID0018,no,"resourceKeywords, resourceTags"
ID0019,no,"resourceKeywords, resourceTags"
ID0020,no,"resourceKeywords, resourceTags"
ID0021,no,"resourceKeywords, resourceTags"
ID0022,no,"resourceKeywords, resourceTags"
ID0023,no,"resourceKeywords, resourceTags"
ID0024,no,"resourceKeywords, resourceTags"
ID0025,no,"resourceKeywords, resourceTags"
ID0026,no,"resourceKeywords, resourceTags"
ID0027,no,"resourceKeywords, resourceTags"
ID0028,no,"resourceKeywords, resourceTags"
ID0029,no,"resourceKeywords, resourceTags"
ID0030,no,"resourceKeywords, resourceTags"
ID0031,no,"resourceKeywords, resourceTags"
ID0032,no,"resourceKeywords, resourceTags"
ID0033,no,"resourceKeywords, resourceTags"
ID0034,no,"resourceKeywords, resourceTags"
ID0035,no,"resourceKeywords, resourceTags"
ID0036,no,"resourceKeywords, resourceTags"
ID0037,no,"resourceKeywords, resourceTags"
ID0038,no,"resourceKeywords, resourceTags"
ID0039,no,"resourceKeywords, resourceTags"
ID0040,no,"resourceKeywords, resourceTags"
ID0041,no,"resourceKeywords, resourceTags"
ID0042,no,"resourceKeywords, resourceTags"
ID0043,no,"resourceKeywords, resourceTags"
ID0044,no,"resourceKeywords, resourceTags"
ID0045,no,"resourceKeywords, resourceTags"
ID0046,no,"resourceKeywords, resourceTags"
ID0047,no,"resourceKeywords, resourceTags"
ID0048,no,"resourceKeywords, resourceTags"
ID0049,no,"resourceKeywords, resourceTags"
ID0050,no,"resourceKeywords, resourceTags"
ID0051,no,"resourceKeywords, resourceTags"
ID0052,no,"resourceKeywords, resourceTags"
ID0053,no,"resourceKeywords, resourceTags"
ID0054,no,"resourceKeywords, resourceTags"
ID0055,no,"resourceKeywords, resourceTags"
ID0056,no,"resourceKeywords, resourceTags"
ID0057,no,"resourceKeywords, resourceTags"
ID0058,no,"resourceKeywords, resourceTags"
ID0059,no,"resourceKeywords, resourceTags"
ID0060,no,"resourceKeywords, resourceTags"
ID0061,no,"resourceKeywords, resourceTags"
ID0062,no,"resourceKeywords, resourceTags"
ID0063,no,"resourceKeywords, resourceTags"
ID0064,no,"resourceKeywords, resourceTags"
ID0065,no,"resourceKeywords, resourceTags"
ID0066,no,"resourceKeywords, resourceTags, resourceUrl"
ID0067,no,"resourceKeywords, resourceTags"
ID0068,no,"resourceKeywords, resourceTags"
ID0069,no,"resourceKeywords, resourceTags"
ID0070,no,"resourceKeywords, resourceTags"
ID0071,no,"resourceKeywords, resourceTags"
ID0072,no,"resourceKeywords, resourceTags"
ID0073,no,"resourceKeywords, resourceTags"
ID0074,no,"resourceKeywords, resourceTags"
ID0075,no,"resourceKeywords, resourceTags"
ID0076,no,"resourceKeywords, resourceTags"
ID0077,no,"resourceKeywords, resourceTags"
ID0078,no,"resourceKeywords, resourceTags"
ID0079,no,"resourceKeywords, resourceTags"
ID0080,no,"resourceKeywords, resourceTags"
ID0081,no,"resourceKeywords, resourceTags, resourceUrl"
